19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,ID,Type,Display Name,Set,Shop ID,Zone,Level,XP,Tags,Module Name,Description,World x,World y,Prerequisite Flags,Removal Flags,Completion Flags,Battle Loot Items,Adventure Loot Items,First Time Loot,First Time Loot 2,Items Stocked,Rares Stocked,Epics Stocked,Legendaries Stocked,Quest Class Restriction,Quest Race Restriction,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Chest 1,Chest 2,Chest 3,Chest 4,,,,,,
Caverns of Chaos Lite,COCL,adventure,Return to the Caverns of Chaos,,,,21,0,noQuests lootAnyLevel noLootFairy noRetry noRetries ,Caverns of Chaos,"Congratulations on beating the Caverns of Chaos, champion! Welcome to its easier cousin, Caverns of Chaos Lite. You will face the same dangers, but you will face them with your own party and items.<br /><br /><i>The final battle rewards a rare or better item. If you lose, you will have to restart from the beginning.</i>",451,1503,COFCDONE,,CMUNLOCK,2,2,,,,,,,,,COC Entrance,COCL Shallow Node,COCL Shallow Node,COCL Shallow Node,COCL Shallow Node,COCL Deep Node,COCL Deep Node,COCL Deep Node,COCL Deep Node,COCL Throne Room,,,,,,,,,,
MauveManticore7,MM07,adventure,Mauve Manticore 7,,,,-1,0,noQuests noParty,Mauve Manticore #7,"Greetings, readers!<br /><br />This month's player-created scenarios feature a well-meaning Rust Creature, the devious animated weapon Blackhammer, and a cautious Kobold healer. Save an orphanage, capture an Alabaster Dragon, cure a dying lord. And, above all else, let your imagination soar! <br /><br />Enjoy!<br />Mary Myrax (Editor).",1649,2492,MM07ARCH,,"MM06ARCH,MM07ARCH",2,2,,,,,,,,,MM7 RR,MM7 BC,MM7 TMR,,,,,,,,,,,,,,,,,
MauveManticore8,MM08,adventure,Mauve Manticore 8,,,,-1,0,noQuests noParty,Mauve Manticore #8,"Salutations, readers!<br /><br />Play as some of Cardhuntria's cutest critters in this month's reader-designed scenarios: War Monkeys and Baby Wyverns! Also don't miss the middle scenario where you get to feel the power of an Ogre Bruiser! It's kill or be killed in these harrowing battles... what's not to love?<br /><br />Till next time - MM",1571,2683,MM08ARCH,,"MM07ARCH,MM08ARCH",2,2,,,,,,,,,MM8 Monkeys,MM8 Haul,MM8 Closet,,,,,,,,,,,,,,,,,
MauveManticore9,MM09,adventure,Mauve Manticore 9,,,,-1,0,noQuests noParty,Mauve Manticore #9,"Greetings, readers!<br /><br />You'll be contending with infinitely respawning monsters in this month's reader-designed scenarios: creepy crawly things, like computer bugs and undead! Keep your wits about you as you slog through the endless onslaught... <br /><br />Enjoy! - MM",1488,2879,MM09ARCH,,"MM08ARCH,MM09ARCH",2,2,,,,,,,,,MM9 Bugs,MM9 Grave,MM9 Necro,,,,,,,,,,,,,,,,,
MauveManticore10,MM10,adventure,Mauve Manticore 10,,,,-1,0,noQuests noParty,Mauve Manticore #10,"Hail, readers!<br /><br />This month has a lot of goodies in store for you, with the release of the Caverns of Chaos and tons of Halloween fun. But don't miss this month's reader-designed scenarios! Defile a demonic temple, repel a pirate attack, and guide a lost dog home through a supernatural blizzard! <br /><br />Good luck! - MM",1688,2879,MM10ARCH,,"MM09ARCH,MM10ARCH",2,2,,,,,,,,,MM10 Summoning,MM10 Seas,MM10 Home,,,,,,,,,,,,,,,,,
MauveManticore11,MM11,adventure,Mauve Manticore 11,,,,-1,0,noQuests noParty,Mauve Manticore #11,"Hello, readers!<br /><br />In this month's reader-designed scenarios, you'll get to solve a couple of puzzles. Disable a cryptic astral chamber and get to the end of a hall of fire intact! If you prefer good-old combat, however, don't despair: you also get to take a turn as DARIUS's mutants as they exterminate trees and spiders. Oh boy!<br /><br />Enjoy! - MM",1888,2879,MM11ARCH,,"MM10ARCH,MM11ARCH",2,2,,,,,,,,,MM11 Astral,MM11 Forest,MM11 Gauntlet,,,,,,,,,,,,,,,,,
MauveManticore12,MM12,adventure,Mauve Manticore 12,,,,-1,0,noQuests noParty,Mauve Manticore #12,"Happy holidays, readers!<br /><br />We hope you enjoy sitting back with a mug of egg nog and the latest installment in the Dword Lord series. And, if you have time over the holidays to play Card Hunter, be sure to check out this month's reader-designed scenarios. Rescue a dragon from crossbow hunters, defend a forest from rampaging sharkbears, and fry some goblins for your evil overlord. Tasty!<br /><br />Enjoy! - MM",1788,2779,MM12ARCH,,"MM11ARCH,MM12ARCH",2,2,,,,,,,,,MM12 Dragon,MM12 Invaders,MM12 Forest,,,,,,,,,,,,,,,,,
MauveManticore13,MM13,adventure,Mauve Manticore 13,,,,-1,0,noQuests noParty,Mauve Manticore #13,"Greetings, readers!<br /><br />This month's issue comes with a fun new fan-made item and three new reader-submitted battles. Pilfer a holiday meal, escape a circus camp, rout a hunting party. As always, these scenarios will challenge your skill and your dice.<br /><br /> Enjoy--if you dare! - MM",1788,2679,MM13ARCH,,"MM12ARCH,MM13ARCH",2,2,,,,,,,,,MM13 Thief,MM13 Camp,MM13 Brigade,,,,,,,,,,,,,,,,,
MauveManticore14,MM14,adventure,Mauve Manticore 14,,,,-1,0,noQuests noParty,Mauve Manticore #14,"Greetings, readers!<br /><br />Starting with this month's issue of Mauve Manticore, if you beat the player-designed scenarios you'll receive the month's Aloyzo's Arsenal winning item(s) as a guaranteed reward! Dive right in as a dynamic treasure-hunting trio, a virus-purging spaceship captain, and a bunch of Cardhuntria's Eldest in a selection of delightful battles.<br /><br /> Enjoy! - MM",1988,2779,MM14ARCH,,"MM13ARCH,MM14ARCH",2,2,Pacifist's Panoply,Smoke on the Water,,,,,,,MM14 Pig,MM14 Core,MM14 Panic,,,,,,,,,,,,,,,,,
AI Interviews,AI01,adventure,Acquire Within,4,,,-1,0,locked treasureHunt noQuests noParty,AI Interviews,Binwin Bronzebottom - Dwarf Barbarian (prebuilt deck)<br />Jim Darkmagic - Human Wizard (prebuilt deck)<br />Omin Dran - Half-Elf Cleric (prebuilt deck),809,1254,AI01TEST,,,2,2,Ruin,,,,,,,,AI 1,AI 2,AI 3,,,,,,,,,,,,,,,,,
AI CryptCo,AI02,adventure,Tomb of Savings,4,,,-1,0,locked treasureHunt noQuests noParty,AI CryptCo,Binwin Bronzebottom - Dwarf Barbarian (prebuilt deck)<br />Jim Darkmagic - Human Wizard (prebuilt deck)<br />Omin Dran - Half-Elf Cleric (prebuilt deck),774,1136,AI01DONE,,,2,2,The Twins,,,,,,,,AI 4,AI 5,AI 6,,,,,,,,,,,,,,,,,
AI Wedding,AI03,adventure,But a Trifle,4,,,-1,0,locked treasureHunt noQuests noParty,AI Wedding,Jim Darkmagic - Human Wizard (prebuilt deck)<br />Omin Dran - Half-Elf Cleric (prebuilt deck)<br />Wedding Guests (prebuilt deck)<br />Binwin Bronzebottom - Dwarf Barbarian (prebuilt deck),744,1022,AI02DONE,,,2,2,Evensong,,,,,,,,AI 7,AI 8,AI 9,,,,,,,,,,,,,,,,,
AI Interviews Hard,AI11,adventure,Acquire Within (Hard),4,,,12,0,,AI Interviews Hard,,948,1221,AI01DONE,,,2,2,,,,,,,Warrior,Human,AI H1,AI H2,AI H3,,,,,,,,,,,,,,,,,
AI CryptCo Hard,AI12,adventure,Tomb of Savings (Hard),4,,,12,0,,AI CryptCo Hard,,898,1062,AI02DONE,,,2,2,,,,,,,Priest,Dwarf,AI H4,AI H5,AI H6,,,,,,,,,,,,,,,,,
AI Wedding Hard,AI13,adventure,But a Trifle (Hard),4,,,12,0,,AI Wedding Hard,,877,956,AI03DONE,,,2,2,,,,,,,Wizard,Elf,AI H7,AI H8,AI H9,,,,,,,,,,,,,,,,,
MauveManticore15,MM15,adventure,Mauve Manticore 15,,,,-1,0,noQuests noParty,Mauve Manticore #15,"Greetings, readers!<br /><br />If you can beat the player-designed scenarios in this month's issue of Mauve Manticore, you'll receive this month's Aloyzo's Arsenal winning items as a guaranteed reward! Can you beat Security Robots using Human Servants? Can you help an Acid Fiend win a philosophical debate with a pack of Gnarls? Will your Mutants eradicate the pesky Spiders??<br /><br /> Good luck! - MM",1988,2683,MM15ARCH,,"MM14ARCH,MM15ARCH",2,2,Pressing Problems,Mad Centaur's Spear,,,,,,,MM15 Firepower,MM15 Discussion,MM15 Spiders,,,,,,,,,,,,,,,,,
MauveManticore16,MM16,adventure,Mauve Manticore 16,,,,-1,0,noQuests noParty,Mauve Manticore #16,"Greetings, readers!<br /><br />This month we bring you a three-scenario story by Lord Patches. In ""Gnome Sweet Gnome,"" you'll play as three Gnome brothers who are returning home after a long winter of mining underground. Their home isn't the peaceful sanctuary it was when they left, though... If you can defeat their enemies and guide the Gnome brothers to victory, you'll win the cool new Human skill item ""Make Haste,"" designed by Stexe for Aloyzo's Arsenal #9!<br /><br /> Gnome luck! - MM",2088,2879,MM16ARCH,,"MM15ARCH,MM16ARCH",2,2,Make Haste,,,,,,,,MM16 1,MM16 2,MM16 3,,,,,,,,,,,,,,,,,
MauveManticore17,MM17,adventure,Mauve Manticore 17,,,,-1,,noQuests noParty,Mauve Manticore #17,"Salutations, readers!<br /><br />Blue Manchu has released the Acquisitions Incorporated monsters for use in our homebrew games, and this month's player-designed scenarios make great use of them! Take a spin with Chef Ramses and his animated meals, or try interviewing a boulder in these baffling battles! If you beat this month's scenarios, you'll win a copy of Hidden Jaguar's Uplifting Faith, the winner of this month's Aloyzo's Arsenal contest.<br /><br />Till next time - MM",2188,2779,MM17ARCH,,"MM16ARCH,MM17ARCH",2,2,Uplifting Faith,,,,,,,,MM17 Wisps,MM17 Interview,MM17 Contest,,,,,,,,,,,,,,,,,
MauveManticore18,MM18,adventure,Mauve Manticore 18,,,,-1,,noQuests noParty,Mauve Manticore #18,"Greetings, readers!<br /><br />In this month's reader-designed scenarios, you'll encounter zombies, dangerous food, and, worst of all, long lines! Can you overcome these obstacles? If you do, you'll win the shiny new Pipes of Hamelin, VermillionOcean's winning submission to this month's Aloyzo's Arsenal contest.<br /><br />Till next time - MM",2388,2779,MM18ARCH,,"MM17ARCH,MM18ARCH",2,2,Pipes of Hamelin,,,,,,,,MM18 Dinner,MM18 Picnic,MM18 Bureaucracy,,,,,,,,,,,,,,,,,
MauveManticore19,MM19,adventure,Mauve Manticore 19,,,,-1,,noQuests noParty,Mauve Manticore #19,"Hail, readers!<br /><br />This month's reader-designed scenarios will take you underground, where you'll fight goblins, zombies, and trolls! If you manage to beat all three encounters, you'll acquire the Wallbreaker's Chisel, a divine weapon that serves as tribute to the creative spirit of the Charismatic Wallbreakers guild. Thanks to Robauke for submitting the winning item to this month's Aloyzo's Arsenal contest. <br /><br />Till next time - MM",2588,2779,MM19ARCH,,"MM19ARCH,MM18ARCH",2,2,Wallbreaker's Chisel,,,,,,,,MM19 Trolls,MM19 Getaway,MM19 Tomb,,,,,,,,,,,,,,,,,
Treasure Shop 5,TRS5,treasureshop,Mitternacht Chests,5,,,18,,,,,497,1254,ARN1DONE,,,,,,,,,,,,,,,,,,,,,,,10,11,12,,,,,,,
Mitternacht Chests,TRSN,treasureshop,Mitternacht Chests,5,,,18,mpChestShop,mpChestShop,,,0,0,NEVERULK,,,,,,,,,,,,,,,,,,,,,,,10,11,12,,,,,,,
MauveManticore20,MM20,adventure,Mauve Manticore 20,,,,-1,,noQuests noParty,Mauve Manticore #20,"Hail, readers!<br /><br />While Walpurgis Night takes over Cardhuntria, you can test your hand at a series of fiendish reader-designed scenarios. Battle ancient gods, radioactive spiders, and Death itself in these battles. If you win, you'll obtain a copy of Maniafig's Vanity Mirror and hwango's 3-Stage Rocket Boots, the two winners of the anniversary edition of Aloyzo's Arsenal!<br /><br />Till next time - MM",2288,2879,MM20ARCH,,"MM19ARCH,MM20ARCH",2,2,Vanity Mirror,3-Stage Rocket Boots,,,,,,,MM20 Jungle,MM20 Death,MM20 Cult,,,,,,,,,,,,,,,,,
Mitternacht1,CM01,adventure,The Spreading Blight,5,,,21,,noLootFairy treasureHunt,Mitternacht1,,566,1041,CMUNLOCK,,,2,2,Reckless Lycanthropy,Inquisitor's Coat,,,,,Wizard,Human,CM1 1,CM1 2,CM1 3,,,,,,,,,,,,,,,,,
MauveManticore21,MM21,adventure,Mauve Manticore 21,,,,-1,,noQuests noParty,Mauve Manticore #21,"Greetings, readers!<br /><br />If you ever wondered how Darius came to control Marie-France, Case, and Molly in the <i>Expedition to the Sky Citadel</i> campaign, you'll love these reader-designed scenarios. Control Marie-France in the ATTACK ON THE CYBER CASTLE, a three-part adventure by adajon. Win, and you'll receive a new Aloyzo's Arsenal helmet with a card designed by the community!<br /><br />Till next time - MM",2488,2879,MM21ARCH,,"MM21ARCH,MM20ARCH",2,2,Helm of Preparation,,,,,,,,MM21 1,MM21 2,MM21 3,,,,,,,,,,,,,,,,,
Mitternacht2,CM02,adventure,Svitlana's Inquisition,5,,,21,,noLootFairy treasureHunt locked,Mitternacht2,,454,1120,CM01DONE,,,2,2,Stalking Vampirism,Daylight Corona,,,,,Warrior,Elf,CM2 1,CM2 2,CM2 3,CM2 4,,,,,,,,,,,,,,,,
MauveManticore22,MM22,adventure,Mauve Manticore 22,,,,-1,,noQuests noParty,Mauve Manticore #22,"Salutations, readers!<br /><br />Haethel of the Deepening Spiral has joined Svitlana's Inquisition, and the wizard Aloyzo just forged his new weapon. If you beat this month's reader-designed scenarios, you'll receive a copy of Haethel's Resolve! This won't be an easy challenge, however: you'll need to best Goblins, Death Elementals, and more in these nail-biting battles! Good luck, Card Hunters!!<br /><br />Till next time - MM",2688,2879,MM22ARCH,,"MM21ARCH,MM22ARCH",2,2,Haethel's Resolve,,,,,,,,MM22 Ogre,MM22 Hammer,MM22 Space,,,,,,,,,,,,,,,,,
MauveManticore23,MM23,adventure,Mauve Manticore 23,,,,-1,,noQuests noParty,Mauve Manticore #23,"Greetings, readers!<br /><br />The Frozen Month is finally ended, and a new issue of Mauve Manticore is here! The reader-designed scenarios will provide fun and challenge, and, should you beat them, you'll win a copy of Fry_The_Guy's Instant Snowman, fresh off Aloyzo's crafting table! Good luck!<br /><br />Till next time - MM",2888,2879,MM23ARCH,,"MM23ARCH,MM22ARCH",2,2,Instant Snowman,,,,,,,,MM23 Outbreak,MM23 Astral,MM23 Tomb,,,,,,,,,,,,,,,,,
MauveManticore24,MM24,adventure,Mauve Manticore 24,,,,-1,,noQuests noParty,Mauve Manticore #24,"Greetings, readers!<br /><br />We're celebrating our 24th issue, and you're invited! Join us in a series of devious reader-designed battles, in which you'll take down security robots, trolls, and more using nothing but your wits and, of course, your cards! Good luck--if you emerge victorious, you'll win a copy of Founder's Epigenetic Eraser, fresh off Aloyzo's crafting table! Good luck!<br /><br />Till next time - MM",2788,2779,MM24ARCH,,"MM23ARCH,MM24ARCH",2,2,Epigenetic Eraser,,,,,,,,MM24 Robots,MM24 Head,MM24 Champions,,,,,,,,,,,,,,,,,
Mitternacht3,CM03,adventure,Assault on Castle Mitternacht,5,,,21,,noLootFairy treasureHunt locked,Mitternacht3,,340,1000,CM02DONE,,,2,2,Bump in the Night,Witch's Snare,,,,,Priest,Dwarf,CM3 1,CM3 2,CM3 3,,,,,,,,,,,,,,,,,
MauveManticore25,MM25,adventure,Mauve Manticore 25,,,,-1,,noQuests noParty,Mauve Manticore #25,"Hail, readers!<br /><br />Mauve Manticore is back for its third year, and this issue is sure to make a splash! Featuring devious reader-designed scenarios which will test your wits and skill, this month's edition packs in the challenge. Can you survive a gauntlet of traps? How about three rampaging werewolves? If you emerge victorious, you'll receive the latest Alozyo's Arsenal item: Fumbledore's Stone, by Pawndawan!<br /><br />Good luck - MM",3088,2879,MM25ARCH,,"MM25ARCH,MM24ARCH",2,2,Fumbledore's Stone,,,,,,,,MM25 Trap,MM25 Silverwood,MM25 Trogs,,,,,,,,,,,,,,,,,
MauveManticore26,MM26,adventure,Mauve Manticore 26,,,,-1,,noQuests noParty,Mauve Manticore #26,"Hail, readers!<br /><br />As Cardhuntria celebrates the winter holidays, you can enjoy this month's reader-designed battles. Be very careful and plan your turns exactly--you won't reach the end without a water-tight strategy! If you win, you'll receive the Madman's Paint Palette, from BlackVoidDeath.<br /><br />Good luck - MM",3059,2548,MM26ARCH,,"MM25ARCH,MM26ARCH",2,2,Madman's Paint Palette,,,,,,,,MM26 Cake,MM26 Boulder,MM26 Step,,,,,,,,,,,,,,,,,
MauveManticore27,MM27,adventure,Mauve Manticore 27,,,,-1,,noQuests noParty,Mauve Manticore #27,"Greetings, readers!<br /><br />Three more reader-designed scenarios await you! As always, fabulous rewards will be yours--you just need to defeat some imps, puddings, and local lords first.<br /><br />Enjoy! - MM",2889,2616,MM27ARCH,,"MM27ARCH,MM26ARCH",2,2,Viridian Dragoncloak,Dusk and Dawn,,,,,,,MM27 Geomancer,MM27 Doggy,MM27 Nightmare,,,,,,,,,,,,,,,,,
MauveManticore28,MM28,adventure,Mauve Manticore 28,,,,-1,,noQuests noParty,Mauve Manticore #28,"Greetings, readers!<br /><br />Three intricate reader-designed scenarios lie within! Fabulous rewards await those who can overcome these dastardly challenges. Juggle boulders, bypass firewalls, and cut the cake in this celebratory edition!<br /><br />Enjoy! - MM",2689,2616,BTFEDONE,,"MM27ARCH,MM28ARCH",2,2,Novice Obfuscation,,,,,,,,MM28 Jugglers,MM28 Infiltration,MM28 Anniversary,,,,,,,,,,,,,,,,,
